gis_join,time
G3600450,436.6777272224426
G4201090,378.44021344184875
G2101190,382.46957564353943
G1600450,378.9993669986725
G3101150,444.2068860530853
G2000610,452.20869874954224
G5400550,426.27350974082947
G5500670,422.61094760894775
G1901830,349.5025939941406
G1800770,376.37895345687866
G5401070,375.5899353027344
G4200610,379.0204904079437
G2901730,436.1621947288513
G4200810,383.19149589538574
G2000130,433.17990159988403
G1801790,376.28661251068115
G3800290,436.21032309532166
G2900470,265.65967059135437
G0800790,435.9749779701233
G3901730,435.36535143852234
G0800510,339.30534052848816
G5400670,411.9497215747833
G1600150,469.5366756916046
G5500350,372.70464158058167
G2100190,407.4641740322113
G2600930,409.9113712310791
G1800070,408.329505443573
G4100010,384.4852819442749
G3900830,403.0396771430969
G5400230,451.7851870059967
G2000630,426.687771320343
G4900290,440.8274791240692
G2900930,418.85776472091675
G3800230,428.36068987846375
G2001550,428.0913541316986
G3100690,377.1174855232239
G2001950,438.1221923828125
G4600030,448.91002464294434
G2100530,366.5688581466675
G1800750,384.21255898475647
G4601130,395.98074865341187
G4601290,437.42425322532654
G4601230,396.05684304237366
G1600210,413.5876815319061
G3900390,389.8224205970764
G1901510,328.45633482933044
G2900730,440.3377492427826
G4900390,433.2863211631775
G3000750,444.9393627643585
G4201010,380.1309757232666
G5400170,421.00418758392334
G3900010,403.47263860702515
G4100630,379.77911949157715
G3100970,436.1217803955078
G2700250,446.68440294265747
G5101730,437.6016881465912
G2600710,442.07418274879456
G1901110,432.37830686569214
G3100050,380.35807394981384
G5500330,373.6183514595032
G2500210,319.2285945415497
G5107500,407.0179886817932
G3800150,441.40571665763855
G3601130,283.7032871246338
G2100690,375.73615765571594
G2101790,382.69464325904846
G3901230,437.55066990852356
G2600590,405.9002766609192
G2101530,406.43487524986267
G2901230,477.58807373046875
G4900010,353.46896862983704
G2100930,384.5923755168915
G3600230,382.12288212776184
G2901130,435.08626198768616
G4600430,427.2080109119415
G2601570,332.5995604991913
G3400150,371.9897849559784
G1901490,432.48765683174133
G1800810,386.16175174713135
G3901710,470.91785287857056
